"CISP";"AISP";"RISP";"Município";"Mês";"Ano";"Feminicídio";"Tentativa de feminicídio";"Fase"
1;5;1;"Rio de Janeiro";"3";"2026";0;0;2
4;5;1;"Rio de Janeiro";"3";"2026";0;0;2
5;5;1;"Rio de Janeiro";"3";"2026";0;0;2
6;4;1;"Rio de Janeiro";"3";"2026";0;0;2
7;5;1;"Rio de Janeiro";"3";"2026";0;0;2
9;2;1;"Rio de Janeiro";"3";"2026";0;0;2
10;2;1;"Rio de Janeiro";"3";"2026";0;0;2
11;23;1;"Rio de Janeiro";"3";"2026";0;0;2
12;19;1;"Rio de Janeiro";"3";"2026";0;0;2
13;19;1;"Rio de Janeiro";"3";"2026";0;0;2
14;23;1;"Rio de Janeiro";"3";"2026";0;0;2
15;23;1;"Rio de Janeiro";"3";"2026";0;0;2
16;31;2;"Rio de Janeiro";"3";"2026";0;0;2
17;4;1;"Rio de Janeiro";"3";"2026";0;0;2
18;6;1;"Rio de Janeiro";"3";"2026";0;0;2
19;6;1;"Rio de Janeiro";"3";"2026";0;0;2
20;6;1;"Rio de Janeiro";"3";"2026";0;0;2
21;22;1;"Rio de Janeiro";"3";"2026";0;0;2
22;16;1;"Rio de Janeiro";"3";"2026";0;1;2
23;3;1;"Rio de Janeiro";"3";"2026";0;0;2
24;3;1;"Rio de Janeiro";"3";"2026";0;1;2
25;3;1;"Rio de Janeiro";"3";"2026";0;0;2
26;3;1;"Rio de Janeiro";"3";"2026";0;0;2
27;41;2;"Rio de Janeiro";"3";"2026";0;0;2
28;18;2;"Rio de Janeiro";"3";"2026";0;0;2
29;9;2;"Rio de Janeiro";"3";"2026";0;0;2
30;9;2;"Rio de Janeiro";"3";"2026";0;1;2
31;41;2;"Rio de Janeiro";"3";"2026";0;0;2
32;18;2;"Rio de Janeiro";"3";"2026";0;1;2
33;14;2;"Rio de Janeiro";"3";"2026";0;0;2
34;14;2;"Rio de Janeiro";"3";"2026";0;1;2
35;40;2;"Rio de Janeiro";"3";"2026";0;3;2
36;27;2;"Rio de Janeiro";"3";"2026";0;0;2
37;17;1;"Rio de Janeiro";"3";"2026";0;0;2
38;16;1;"Rio de Janeiro";"3";"2026";0;0;2
39;41;2;"Rio de Janeiro";"3";"2026";0;1;2
40;9;2;"Rio de Janeiro";"3";"2026";0;0;2
41;18;2;"Rio de Janeiro";"3";"2026";0;1;2
42;31;2;"Rio de Janeiro";"3";"2026";0;1;2
43;27;2;"Rio de Janeiro";"3";"2026";0;0;2
44;3;1;"Rio de Janeiro";"3";"2026";0;0;2
48;24;3;"Seropédica";"3";"2026";0;0;2
50;24;3;"Itaguaí";"3";"2026";0;0;2
51;24;3;"Paracambi";"3";"2026";0;0;2
52;20;3;"Nova Iguaçu";"3";"2026";0;1;2
53;20;3;"Mesquita";"3";"2026";0;0;2
54;39;3;"Belford Roxo";"3";"2026";0;0;2
55;24;3;"Queimados";"3";"2026";0;1;2
56;20;3;"Nova Iguaçu";"3";"2026";0;0;2
57;20;3;"Nilópolis";"3";"2026";0;0;2
58;20;3;"Nova Iguaçu";"3";"2026";3;3;2
59;15;3;"Duque de Caxias";"3";"2026";0;2;2
60;15;3;"Duque de Caxias";"3";"2026";0;0;2
61;15;3;"Duque de Caxias";"3";"2026";0;0;2
62;15;3;"Duque de Caxias";"3";"2026";1;0;2
63;24;3;"Japeri";"3";"2026";1;0;2
64;21;3;"São João de Meriti";"3";"2026";0;2;2
65;34;3;"Magé";"3";"2026";0;1;2
66;34;3;"Magé";"3";"2026";1;2;2
67;34;3;"Guapimirim";"3";"2026";0;0;2
70;35;4;"Tanguá";"3";"2026";0;1;2
71;35;4;"Itaboraí";"3";"2026";0;0;2
72;1;4;"São Gonçalo";"3";"2026";0;0;2
73;1;4;"São Gonçalo";"3";"2026";0;1;2
74;7;4;"São Gonçalo";"3";"2026";1;0;2
75;7;4;"São Gonçalo";"3";"2026";0;0;2
76;12;4;"Niterói";"3";"2026";0;0;2
77;12;4;"Niterói";"3";"2026";0;0;2
78;12;4;"Niterói";"3";"2026";0;0;2
79;12;4;"Niterói";"3";"2026";0;0;2
81;12;4;"Niterói";"3";"2026";0;0;2
82;12;4;"Maricá";"3";"2026";0;1;2
88;10;5;"Barra do Piraí";"3";"2026";0;1;2
89;37;5;"Resende";"3";"2026";0;0;2
90;28;5;"Barra Mansa";"3";"2026";0;0;2
91;10;5;"Valença";"3";"2026";0;0;2
92;10;5;"Rio das Flores";"3";"2026";0;0;2
93;28;5;"Volta Redonda";"3";"2026";0;0;2
94;10;5;"Piraí";"3";"2026";0;0;2
95;10;5;"Vassouras";"3";"2026";0;3;2
96;10;5;"Miguel Pereira";"3";"2026";0;0;2
96;10;5;"Paty do Alferes";"3";"2026";0;0;2
97;10;5;"Mendes";"3";"2026";0;0;2
98;10;5;"Engenheiro Paulo de Frontin";"3";"2026";0;0;2
99;37;5;"Itatiaia";"3";"2026";0;0;2
100;37;5;"Porto Real";"3";"2026";0;1;2
100;37;5;"Quatis";"3";"2026";0;0;2
101;28;5;"Pinheiral";"3";"2026";0;0;2
104;30;7;"São José do Vale do Rio Preto";"3";"2026";0;0;2
105;26;7;"Petrópolis";"3";"2026";0;1;2
106;26;7;"Petrópolis";"3";"2026";0;0;2
107;38;7;"Paraíba do Sul";"3";"2026";0;0;2
108;38;7;"Areal";"3";"2026";0;0;2
108;38;7;"Comendador Levy Gasparian";"3";"2026";0;0;2
108;38;7;"Três Rios";"3";"2026";0;0;2
109;38;7;"Sapucaia";"3";"2026";0;0;2
110;30;7;"Teresópolis";"3";"2026";0;1;2
111;30;7;"Sumidouro";"3";"2026";0;0;2
112;30;7;"Carmo";"3";"2026";0;0;2
118;25;4;"Araruama";"3";"2026";0;0;2
119;35;4;"Rio Bonito";"3";"2026";0;0;2
120;35;4;"Silva Jardim";"3";"2026";0;0;2
121;32;6;"Casimiro de Abreu";"3";"2026";0;0;2
122;32;6;"Conceição de Macabu";"3";"2026";0;0;2
123;32;6;"Macaé";"3";"2026";0;2;2
124;25;4;"Saquarema";"3";"2026";0;0;2
125;25;4;"São Pedro da Aldeia";"3";"2026";0;0;2
126;25;4;"Cabo Frio";"3";"2026";0;0;2
